device_id,device_type,location,criticality,expected_interval_sec
dev-001,climate_sensor,building-1,high,300
dev-002,industrial_sensor,office-main,medium,60
dev-003,access_controller,workshop-2,critical,60
dev-004,access_controller,greenhouse-A,critical,60
dev-005,access_controller,building-1,critical,60
dev-006,access_controller,network-zone-A,medium,60
dev-007,industrial_sensor,building-1,critical,60
dev-008,smart_meter,building-1,high,120
dev-009,network_gateway,office-main,critical,30
dev-010,climate_sensor,network-zone-A,medium,300
dev-011,access_controller,office-main,critical,60
dev-012,network_gateway,greenhouse-A,critical,30
dev-013,access_controller,network-zone-A,critical,60
dev-014,smart_meter,workshop-2,high,120
dev-015,network_gateway,greenhouse-A,critical,30
dev-016,access_controller,office-main,high,60
dev-017,climate_sensor,network-zone-A,medium,300
dev-018,climate_sensor,network-zone-A,medium,300
dev-019,access_controller,workshop-2,critical,60
dev-020,industrial_sensor,workshop-2,high,60
dev-021,network_gateway,building-1,critical,30
dev-022,smart_meter,network-zone-A,high,120
dev-023,access_controller,office-main,critical,60
dev-024,climate_sensor,office-main,medium,300
dev-025,smart_meter,building-1,medium,120
dev-026,smart_meter,workshop-2,high,120
dev-027,access_controller,network-zone-A,medium,60
dev-028,industrial_sensor,workshop-2,high,60
dev-029,climate_sensor,office-main,medium,300
dev-030,industrial_sensor,network-zone-A,high,60
dev-031,industrial_sensor,network-zone-A,medium,60
dev-032,network_gateway,greenhouse-A,high,30
dev-033,access_controller,network-zone-A,critical,60
dev-034,industrial_sensor,workshop-2,high,60
